Phage_cluster_2514	virion structural protein
Phage_cluster_2313	portal protein
Phage_cluster_2403	putative tail protein
Phage_cluster_2257	putative tail protein
Phage_cluster_2296	DNA packaging enzyme (terminase)
Phage_cluster_2428	main tail protein
Phage_cluster_2432	structure protein putative major tail protein
Phage_cluster_2319	putative terminase large subunit
Phage_cluster_2422	major tail protein
Phage_cluster_2404	T7-like tubular tail B family-like protein
Phage_cluster_2327	major tail protein
Phage_cluster_2325	putative minor capsid protein 4
Phage_cluster_2440	putative tail protein
Phage_cluster_2292	putative structural protein
Phage_cluster_2316	putative major tail protein
Phage_cluster_2298	putative structural protein
Phage_cluster_2237	terminase
Phage_cluster_2293	tail tubular protein B
Phage_cluster_2546	putative terminase large subunit
Phage_cluster_2580	putative tail tubular A protein
Phage_cluster_2696	putative tail tubular protein A
Phage_cluster_2612	putative major tail protein
Phage_cluster_2694	putative phage terminase, large subunit
Phage_cluster_2713	putative portal protein
Phage_cluster_2583	putative structural protein
Phage_cluster_2656	virion structural protein
Phage_cluster_2827	putative phage tail protein
Phage_cluster_2526	portal
Phage_cluster_2805	putative tail protein
Phage_cluster_2519	putative phage major tail protein
Phage_cluster_2745	putative portal protein
Phage_cluster_2773	virion structural protein
Phage_cluster_2551	terminase, large subunit
Phage_cluster_2595	putative portal protein
Phage_cluster_2553	portal protein
Phage_cluster_2715	putative coat protein
Phage_cluster_2607	tail protein
Phage_cluster_2541	putative capsid protein
Phage_cluster_2959	bacteriophage major capsid protein
Phage_cluster_3195	phage virion structural protein
Phage_cluster_2978	capsid protein
Phage_cluster_2982	putative tail tube protein
Phage_cluster_2968	putative minor head protein
Phage_cluster_3197	virion structural protein
Phage_cluster_3284	phage major capsid protein
Phage_cluster_2971	tail protein
Phage_cluster_2981	tail sheath
Phage_cluster_2875	major capsid protein
Phage_cluster_2990	putative coat protein
Phage_cluster_3180	capsid protein
Phage_cluster_2880	major tail protein
Phage_cluster_3098	probable terminase
Phage_cluster_2925	bacteriophage tail protein gpT
Phage_cluster_2915	portal protein
Phage_cluster_2964	main capsid protein
Phage_cluster_3008	putative structural protein
Phage_cluster_3224	capsid protein
Phage_cluster_3225	major spike protein
Phage_cluster_2970	putative major tail protein
